-42,10,12
-42,12,12
-40,12,13
-41,11,13
-41,10,13
-43,11,13
-41,10,14
-42,11,13
-41,11,13
-42,11,13
-41,11,13
-41,12,13
-41,11,13
-41,12,13
-41,11,13
-41,11,13
-41,11,13
-40,10,13
-42,12,13
-41,11,14
-42,11,13
-40,10,13
-42,11,13
-40,12,13
-43,11,13
-41,11,12
-40,12,12
-42,11,12
-41,11,12
-42,12,13
-42,12,12
-42,11,13
-42,11,13
-41,11,12
-42,12,12
-41,12,12
-41,11,12
-42,11,11
-42,11,12
-41,11,12
-43,12,12
-42,11,12
-42,11,12
-42,11,12
-42,12,12
-43,11,12
-42,11,11
-42,11,12
-42,12,12
-42,12,12
-42,12,12
-42,11,13
-42,11,13
-41,11,13
-41,12,13
-40,12,14
-40,11,14
-40,10,14
-42,11,15
-41,10,15
-41,11,15
-41,11,16
-41,10,16
-38,11,16
-38,11,16
-38,12,17
-37,12,17
-37,11,18
-38,12,18
-38,11,20
-37,12,21
-36,13,22
-35,13,22
-33,13,23
-32,14,25
-32,13,26
-30,12,26
-29,13,27
-27,14,26
-27,16,28
-26,19,27
-24,18,26
-20,21,26
-19,26,26
-19,25,27
-16,27,27
-14,30,27
-13,30,27
-18,48,27
-5,26,32
1,29,28
-2,28,31
0,31,25
-4,32,22
-2,31,23
0,31,25
3,30,24
6,35,27
8,35,28
7,34,27
5,35,29
7,34,29
6,36,29
10,33,30
11,31,28
8,29,30
8,31,30
5,26,30
0,28,29
-1,28,31
-2,24,27
-3,23,28
-3,24,33
-6,19,32
-21,25,44
-12,10,42
3,10,35
5,12,38
3,7,36
-6,4,33
-9,-7,38
-8,23,32
-5,6,38
-16,20,34
-17,6,41
-18,7,35
-17,7,35
-19,7,40
-16,6,39
-8,3,39
-10,9,29
-16,8,37
-11,5,34
-25,7,32
-20,4,38
-15,0,38
-14,0,36
-16,2,37
-20,-1,36
-26,1,37
-21,-4,38
-22,0,36
-25,2,33
-21,0,37
-19,-2,39
-21,3,34
-18,1,35
-16,3,35
-13,2,36
-8,4,34
-1,4,35
2,5,31
0,3,35
-12,3,34
-15,0,36
-16,-1,37
-17,-1,35
-20,1,35
-19,0,35
-20,-4,39
-24,-3,37
-25,-3,36
-22,-5,36
-20,-5,37
-20,-4,34
-23,-4,34
-23,-6,35
-23,-5,33
-22,-5,33
-21,-4,32
-23,-6,33
-23,-5,33
-24,-5,32
-24,-6,33
-26,-7,34
-25,-6,34
-25,-5,32
-23,-6,33
-22,-5,32
-23,-6,32
-23,-7,33
-23,-8,33
-21,-9,34
-23,-6,34
-24,-6,33
-23,-9,35
-24,-7,32
-25,-5,32
-21,-8,33
-21,-8,34
-22,-7,33
-22,-8,34
-22,-7,33
-23,-7,33
-24,-8,33
-23,-8,33
-22,-9,32
-24,-8,31
-22,-10,33
-22,-10,34
-23,-8,31
-23,-7,31
-23,-9,32
-24,-12,34
-24,-9,33
-23,-8,31
-20,-12,34
-20,-11,35
-20,-8,33
-21,-9,33
-21,-10,35
-21,-8,33
-19,-9,33
-19,-10,34
-21,-8,33
-23,-6,32
-23,-8,32
-24,-9,32
-25,-8,33
-26,-6,30
-26,-7,32
-25,-8,32
-25,-8,33
-24,-7,33
-25,-9,33
-25,-9,33
-25,-8,34
-23,-8,32
-22,-7,32
-21,-7,31
-19,-8,32
-22,-6,32
-23,-7,31
-23,-7,32
-24,-7,32
-25,-7,33
-24,-8,32
-24,-8,33
-24,-7,33
-24,-5,32
-22,-8,32
-24,-7,32
-24,-8,31
-23,-7,30
-23,-7,31
-22,-8,30
-23,-8,30
-25,-8,29
-27,-9,31
-29,-10,31
-29,-8,29
-27,-9,29
-29,-10,27
-32,-9,28
-29,-10,27
-31,-10,27
-34,-11,27
-35,-11,27
-36,-11,27
-34,-11,25
-34,-11,26
-34,-10,25
-32,-11,26
-32,-11,26
-32,-10,25
-33,-10,25
-32,-11,25
-33,-10,25
-33,-10,25
-32,-10,25
-32,-10,25
-32,-11,26
-32,-10,25
-32,-10,26
-32,-10,26
-31,-11,26
-32,-11,25
-32,-10,25
-32,-10,25
-32,-11,26
-31,-12,26
-32,-10,26
-32,-10,26
-31,-11,26
-30,-11,26
-32,-10,26
-32,-11,26
-32,-11,26
-31,-11,26
-31,-11,26
-32,-10,26
-32,-10,26
-31,-11,26
-32,-11,26
-32,-10,26
-31,-11,26
-31,-10,25
-32,-10,26
-32,-11,26
-30,-10,26
-31,-11,26
-31,-11,27
-32,-11,26
-31,-11,26
-32,-12,27
-32,-10,27
-31,-11,27
-30,-11,26
-31,-11,26
-32,-10,26
-32,-11,25
-32,-10,25
-32,-10,26
-32,-10,25
-32,-10,25
-31,-10,25
-31,-11,26
-32,-12,27
-33,-10,26
-31,-10,26
-31,-11,26
-31,-11,26
-32,-10,26
-32,-10,26
-31,-10,26
-31,-9,25
-32,-10,26
-32,-11,26
-32,-10,26
-31,-10,26
-31,-11,27
-31,-11,26
-30,-10,26
-30,-10,26
-31,-10,26
-31,-11,26
-32,-10,26
-33,-10,26
-32,-10,25
-31,-9,25
-32,-9,25
-33,-8,25
-33,-9,26
-33,-11,26
-33,-10,26
-33,-9,25
-31,-10,25
-31,-10,25
-32,-10,26
-32,-9,26
-32,-10,26
-32,-11,27
-32,-12,27
-32,-11,27
-31,-12,27
-29,-12,26
-30,-11,26
-30,-10,26
-31,-11,27
-32,-11,26
-32,-10,26
-33,-11,26
-32,-12,26
-31,-11,26
-31,-11,25
-31,-12,26
-31,-12,26
-32,-12,26
-31,-12,27
-29,-11,27
-30,-12,27
-30,-13,28
-31,-11,27
-31,-12,28
-30,-15,29
-28,-14,29
-29,-11,26
-29,-13,27
-29,-13,28
-30,-12,27
-30,-12,27
-30,-13,28
-30,-13,29
-29,-12,29
-29,-12,29
-30,-13,30
-29,-13,31
-31,-10,31
