The 2048 Game Ends 	29 Jul 2014 06:41:03 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:41:08 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
The Got2run game starts	29 Jul 2014 06:41:09 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:41:27 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
exit		29 Jul 2014 06:41:32 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 06:41:37 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 06:41:40 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:41:43 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 06:41:46 GMT	209 Brush Creek Blvd, Kansas City, United States	
The Got2Run Game Starts 	29 Jul 2014 06:41:46 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:41:52 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:41:54 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:41:57 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:41:59 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:42:02 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:42:07 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:42:11 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:42:14 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
hungry		29 Jul 2014 06:42:17 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:42:20 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 06:42:37 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:42:46 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 06:42:49 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:42:53 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:42:59 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
hungry		29 Jul 2014 06:43:01 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:43:03 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
exit		29 Jul 2014 06:43:05 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
exit		29 Jul 2014 06:43:09 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
The Got2Run Ends 	29 Jul 2014 06:43:09 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
exit		29 Jul 2014 06:43:14 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
Games Service End Called		29 Jul 2014 06:43:15 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
exit		29 Jul 2014 06:43:33 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 06:43:33 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:43:35 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:43:39 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
hungry		29 Jul 2014 06:43:40 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 06:43:43 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 07:28:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 07:28:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 07:28:12 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 07:28:12 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 07:32:35 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 07:32:55 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 07:35:44 GMT	209 Brush Creek Blvd, Kansas City, United States	
Thirsty Alert Service Called		29 Jul 2014 07:35:45 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 07:35:51 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 07:35:51 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
exit		29 Jul 2014 07:35:54 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 07:35:54 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 07:35:58 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 07:36:16 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 08:09:48 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Games Service Called		29 Jul 2014 08:09:48 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:09:49 GMT	209 Brush Creek Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 08:09:50 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:09:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
The 2048 Game Ends 	29 Jul 2014 08:09:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:09:59 GMT	209 Brush Creek Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 08:09:59 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:10:02 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:10:07 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:10:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
The 2048 Game Ends 	29 Jul 2014 08:10:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:10:13 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:10:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 08:10:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:10:23 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:10:26 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:10:29 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 08:10:33 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:10:37 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:10:42 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:10:47 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:10:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:10:58 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:11:01 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:11:04 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:06 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:11:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:13 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:11:16 GMT	209 Brush Creek Blvd, Kansas City, United States	
The 2048 Game Ends 	29 Jul 2014 08:11:16 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:22 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 08:11:26 GMT	209 Brush Creek Blvd, Kansas City, United States	
The Got2run game starts	29 Jul 2014 08:11:26 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:11:30 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:34 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:39 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:11:43 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:11:48 GMT	209 Brush Creek Blvd, Kansas City, United States	
The Got2Run Game Starts 	29 Jul 2014 08:11:49 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:57 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:11:59 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:12:02 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 08:12:05 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:12:07 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 08:12:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:12:12 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:12:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 08:12:19 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:12:22 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 08:12:23 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:12:26 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:12:28 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:13:00 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 08:13:00 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 08:16:48 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:17:05 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 08:17:05 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:17:10 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 08:17:10 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:17:13 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 08:17:13 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:23:15 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 08:23:15 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 08:24:37 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 08:24:37 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:24:41 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 08:24:41 GMT	209 Brush Creek Blvd, Kansas City, United States	
